saccver,sname,staxonomy,sstrain,typestrain
NR_151957.1,Agromyces aureus,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Agromyces,AR33,True
NR_151956.1,Populibacterium corticicola,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Jonesiaceae; Populibacterium,2D-4,True
NR_151951.1,Streptomyces verrucosisporus,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,CPB1-1,True
NR_151950.1,Flexivirga lutea,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Dermacoccaceae; Flexivirga,TBS-100,True
NR_151949.1,Streptomyces adustus,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,WH-9,True
NR_151948.1,Streptomyces rhizosphaerihabitans,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,JR-35,True
NR_151947.1,Corynebacterium pollutisoli,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,VDS11,True
NR_151946.1,Micromonospora vinacea,Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Micromonospora,GUI63,True
NR_151945.1,Micromonospora noduli,Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Micromonospora,GUI43,True
NR_151944.1,Micromonospora ureilytica,Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Micromonospora,GUI23,True
NR_151941.1,Tsukamurella serpentis,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Tsukamurellaceae; Tsukamurella,HKU54,True
NR_151938.1,Kocuria pelophila,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Kocuria,RS-2-3,True
NR_151937.1,Cribrihabitans pelagius,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Cribrihabitans,KMU-32,True
NR_151936.1,Marinomonas atlantica,Bacteria; Pseudomonadota; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Marinomonas,Cmf 18.22,True
NR_151935.1,Marinomonas gallaica,Bacteria; Pseudomonadota; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Marinomonas,Cmf 17.2,True
NR_151934.1,Novosphingobium naphthae,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium,D39,True
NR_151931.1,Agarivorans aestuarii,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Agarivorans,hydD622,True
NR_151930.1,Bradyrhizobium stylosanthis,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium,BR 446,True
NR_151928.1,Paraphotobacterium marinum,Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Paraphotobacterium,NSCS20N07D,True
NR_151926.1,Paracoccus aestuariivivens,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Paracoccus,GHD-30,True
NR_151925.1,Rhodobacter sediminis,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Rhodobacter,N1,True
NR_151924.1,Larsenimonas suaedae,Bacteria; Pseudomonadota; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Larsenimonas,ST307,True
NR_151921.1,Shewanella gelidii,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella,RZB5-4,True
NR_151920.1,Polynucleobacter sinensis,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter,MWH-HuW1,True
NR_151919.1,Polynucleobacter yangtzensis,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter,MWH-JaK3,True
NR_151918.1,Polynucleobacter duraquae,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter,MWH-MoK4,True
NR_151917.1,Helicobacter apri,Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter,A19,True
NR_151916.1,Ventosimonas gracilis,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Ventosimonadaceae; Ventosimonas,CV58,True
NR_151915.1,Sphingomonas faucium,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas,E62-3,True
NR_151914.1,Dickeya fangzhongdai,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Dickeya,JS5,True
NR_151913.1,Chenggangzhangella methanolivorans,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Methylocystaceae; Chenggangzhangella,CHL1,True
NR_151910.1,Ideonella sakaiensis,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sphaerotilaceae; Ideonella,201-F6,True
NR_151909.1,Undibacterium arcticum,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Undibacterium,6-67,True
NR_151907.1,Cephaloticoccus primus,Bacteria; Verrucomicrobiota; Opitutae; Opitutales; Opitutaceae; Cephaloticoccus,CAG34,True
NR_151906.1,Cephaloticoccus capnophilus,Bacteria; Verrucomicrobiota; Opitutae; Opitutales; Opitutaceae; Cephaloticoccus,CV41,True
NR_151905.1,Vicinamibacter silvestris,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; Vicinamibacteraceae; Vicinamibacter,Ac_5_C6,True
NR_151903.1,Tepidibacillus infernus,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Tepidibacillus,MBL-TLP,True
NR_151902.1,Paenibacillus liaoningensis,Bacteria; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus,LNUB461,True
NR_151900.1,Ruthenibacterium lactatiformans,Bacteria; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Ruthenibacterium,585-1,True
NR_151896.1,Anoxybacillus geothermalis,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Anoxybacillus,ATCC BAA-2555,True
NR_151893.1,Paenibacillus arachidis,Bacteria; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus,E3,True
NR_151892.1,Taibaiella soli,Bacteria; Bacteroidota; Chitinophagia; Chitinophagales; Chitinophagaceae; Taibaiella,T1-10,True
NR_151891.1,Winogradskyella sediminis,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Winogradskyella,S5-23-3,True
NR_151890.1,Flavobacterium humicola,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,UCM-46,True
NR_151889.1,Flavobacterium pedocola,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,UCM-R36,True
NR_151888.1,Flavobacterium fulvum,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,UCM-R15,True
NR_151887.1,Marinirhabdus gelatinilytica,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae,NH83,True
NR_151886.1,Hallella colorans,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Hallella,A1336,True
NR_151885.1,Aureisphaera salina,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Aureisphaera,A6D-50,True
NR_151884.1,Gelatiniphilus marinus,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Gelatiniphilus,GYP-24,True
NR_151883.1,Mucilaginibacter pocheonensis,Bacteria; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Mucilaginibacter,Gsoil 032,True
NR_151882.1,Flavobacterium aquicola,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,TMd3a3,True
NR_151881.1,Flavobacterium aquicola,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,TMd3a3,True
NR_151880.1,Flavobacterium aquicola,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,TMd3a3,True
NR_151879.1,Niabella aquatica,Bacteria; Bacteroidota; Chitinophagia; Chitinophagales; Chitinophagaceae; Niabella,RP-2,True
NR_151875.1,Streptomyces chitinivorans,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,RC1832,True
NR_151874.1,Micromonospora sediminis,Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Micromonospora,CH3-3,True
NR_151872.1,Streptomyces canalis,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,TRM46794-61,True
NR_151871.1,Corynebacterium guangdongense,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,S01,True
NR_151870.1,Rothia aerolata,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Rothia,140917-MRSA-09,True
NR_151869.1,Actinorhabdospora filicis,Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Actinorhabdospora,K12-0408,True
NR_151866.1,Phytohabitans kaempferiae,Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae,KK1-3,True
NR_151863.1,Isoptericola cucumis,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Promicromonosporaceae; Isoptericola,AP-38,True
NR_137416.2,Nocardiopsis nanhaiensis,Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Nocardiopsaceae; Nocardiopsis,10A08B,True
NR_134799.2,Prescottella soli,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Prescottella,DSD51W,True
NR_115938.2,Staphylococcus pseudolugdunensis,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,B006,True
NR_126315.2,Methylacidimicrobium cyclopophantes,Bacteria; Verrucomicrobiota; Methylacidimicrobium. REFERENCE   1  (bases 1 to 1531,3B,True
NR_126313.2,Methylacidimicrobium fagopyrum,Bacteria; Verrucomicrobiota; Methylacidimicrobium. REFERENCE   1  (bases 1 to 1531,3C,True
NR_132700.2,Heliorestis acidaminivorans,Bacteria; Bacillota; Clostridia; Eubacteriales; Heliobacteriaceae; Heliorestis,HR10B,True
NR_136501.2,Pseudomonas donghuensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,HYS,True
NR_146813.2,Erysipelothrix larvae,Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix,LV19,True
NR_146812.2,Erysipelothrix larvae,Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix,LV19,True
NR_146811.2,Erysipelothrix larvae,Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix,LV19,True
NR_146814.2,Erysipelothrix larvae,Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix,LV19,True
NR_121783.2,Draconibacterium orientale,Bacteria; Bacteroidota; Bacteroidia; Marinilabiliales; Prolixibacteraceae; Draconibacterium,FH5,True
NR_114796.2,Aquifex aeolicus,Bacteria; Aquificota; Aquificae; Aquificales; Aquificaceae; Aquifex,VF5,True
NR_115927.2,Desulfurispirillum indicum,Bacteria; Chrysiogenota; Chrysiogenetes; Chrysiogenales; Chrysiogenaceae; Desulfurispirillum,S5,True
NR_116360.2,Bradyrhizobium cytisi,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium,CTAW11,True
NR_116361.2,Bradyrhizobium rifense,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium,CTAW71,True
NR_118693.2,Bartonella quintana,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Bartonellaceae; Bartonella,Fuller,True
NR_134034.2,Flavobacterium faecale,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,WV33,True
NR_134753.2,Labedella endophytica,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Labedella,EGI 6500705,True
NR_137417.2,Nocardiopsis oceani,Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Nocardiopsaceae; Nocardiopsis,10A08A,True
NR_136851.2,Okibacterium endophyticum,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Okibacterium,EGI 650022,True
NR_136863.2,Sinomonas mesophila,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Sinomonas,MPKL 26,True
NR_145558.2,Oceanobacillus rekensis,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Oceanobacillus,PT-11,True
NR_136516.2,Methyloversatilis discipulorum,Bacteria; Pseudomonadota; Betaproteobacteria; Nitrosomonadales; Sterolibacteriaceae; Methyloversatilis,FAM1,True
NR_136517.2,Methyloversatilis discipulorum,Bacteria; Pseudomonadota; Betaproteobacteria; Nitrosomonadales; Sterolibacteriaceae; Methyloversatilis,FAM1,True
NR_145955.2,Spiribacter curvatus,Bacteria; Pseudomonadota; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Spiribacter,UAH-SP71,True
NR_145956.2,Sphingomonas hengshuiensis,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas,WHSC-8,True
NR_145962.2,Sphingomonas hengshuiensis,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas,WHSC-8,True
NR_146708.2,Thalassospira australica,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Thalassospiraceae; Thalassospira,NP 3b2,True
NR_146837.2,Fusobacterium gastrosuis,Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium,CDW1,True
NR_147779.2,Mycobacterium alsense,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium,TB 1906,True
NR_149217.2,Microbacterium lacusdiani,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Microbacterium,JXJ CY 01,True
NR_149824.1,Rheinheimera gaetbuli,Bacteria; Pseudomonadota; Gammaproteobacteria; Chromatiales; Chromatiaceae; Rheinheimera,H26,True
NR_149823.1,Pseudomonas versuta,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,L10.10,True
NR_149822.1,Pseudomonas sesami,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,SI-P133,True
NR_149821.1,Pseudoalteromonas amylolytica,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas,JW1,True
NR_149820.1,Novosphingobium pokkalii,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium,L3E4,True
NR_149817.1,Micromonospora yasonensis,Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Micromonospora,DS3186,True
NR_149816.1,Microbacterium zeae,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Microbacterium,1204,True
NR_149815.1,Mesorhizobium olivaresii,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Phyllobacteriaceae; Mesorhizobium,: CPS13,True
NR_149814.1,Limnobacter humi,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Limnobacter,UCM-39,True
NR_149813.1,Larkinella harenae,Bacteria; Bacteroidota; Cytophagia; Cytophagales; Spirosomaceae; Larkinella,15J9-9,True
NR_149807.1,Frankia discariae,Bacteria; Actinomycetota; Actinomycetes; Frankiales; Frankiaceae; Frankia,BCU110501,True
NR_149805.1,Corallincola platygyrae,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Psychromonadaceae; Corallincola,JLT2006,True
NR_149804.1,Bradyrhizobium centrosematis,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium,A9,True
NR_149803.1,Bradyrhizobium americanum,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium,CMVU44,True
NR_149802.1,Arthrobacter pokkalii,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Arthrobacter,P3B162,True
NR_149801.1,Actinomadura alkaliterrae,Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Thermomonosporaceae; Actinomadura,D310A,True
NR_149800.1,Acinetobacter halotolerans,Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter,R160,True
NR_149799.1,Filimonas zeae,Bacteria; Bacteroidota; Chitinophagia; Chitinophagales; Chitinophagaceae; Filimonas,772,True
NR_149798.1,Lutibacter profundi,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Lutibacter,LP1,True
NR_149797.1,Niabella pedocola,Bacteria; Bacteroidota; Chitinophagia; Chitinophagales; Chitinophagaceae; Niabella,R384,True
NR_149796.1,Sphingobacterium zeae,Bacteria; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium,JM-1081,True
NR_149795.1,Lentimicrobium saccharophilum,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Lentimicrobiaceae; Lentimicrobium,TBC1,True
NR_149794.1,Flavobacterium tyrosinilyticum,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,THG-DN8.8,True
NR_149793.1,Kordia ulvae,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Kordia,SC2,True
NR_149792.1,Fulvivirga lutimaris,Bacteria; Bacteroidota; Cytophagia; Cytophagales; Fulvivirgaceae; Fulvivirga,TM-6,True
NR_149791.1,Moheibacter stercoris,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Moheibacter,784B1_12E-Caso,True
NR_149790.1,Pseudoalteromonas fenneropenaei,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas,rzy34,True
NR_149789.1,Comamonas sediminis,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Comamonas,S3,True
NR_149788.1,Paludibacterium purpuratum,Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Paludibacterium,KJ031,True
NR_149787.1,Sulfurovum riftiae,Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Sulfurovaceae; Sulfurovum,1812E,True
NR_149786.1,Phenylobacterium panacis,Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium,DCY 109,True
NR_149785.1,Corticibacterium populi,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Phyllobacteriaceae; Corticibacterium,16B10-2-7,True
NR_149784.1,Flavimaricola marinus,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Flavimaricola,MDM-7,True
NR_149783.1,Variovorax humicola,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax,UC38,True
NR_149782.1,Dissulfurirhabdus thermomarina,Bacteria; Deltaproteobacteria; Dissulfurirhabdaceae; Dissulfurirhabdus,SH388,True
NR_149780.1,Salipaludibacillus aurantiacus,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae. REFERENCE   1  (bases 1 to 1462,S9,True
NR_149778.1,Paenibacillus cucumis,Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus,AP-115,True
NR_149777.1,Domibacillus antri,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Domibacillus,XD80,True
NR_149776.1,Actinophytocola algeriensis,Bacteria; Actinomycetota; Actinomycetes; Pseudonocardiales; Pseudonocardiaceae,MB20,True
NR_149775.1,Dermabacter jinjuensis,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Dermabacteraceae; Dermabacter,32,True
NR_149774.1,Salilacibacter albus,Bacteria; Actinomycetota; Actinomycetes; Glycomycetales; Glycomycetaceae; Salilacibacter,J11Y309,True
NR_149773.1,Humibacter soli,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Humibacter,R1-20,True
NR_149772.1,Streptosporangium becharense,Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Streptosporangium,SG1,True
NR_149769.1,Aquaticitalea lipolytica,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Aquaticitalea,Ar-125,True
NR_149768.1,Tenacibaculum sediminilitoris,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Tenacibaculum,YKTF-3,True
NR_149767.1,Polaromonas eurypsychrophila,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Polaromonas,B717-2,True
NR_149766.1,Caenibacillus caldisaponilyticus,Bacteria; Bacillota; Bacilli; Bacillales; Sporolactobacillaceae; Caenibacillus,B157,True
NR_149765.1,Plantactinospora soyae,Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Plantactinospora,NEAU-gxj3,True
NR_149306.1,Racemicystis crocea,Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae. REFERENCE   1  (bases 1 to 1549,MSr9521,True
NR_149305.1,Cupriavidus nantongensis,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Cupriavidus,X1,True
NR_149303.1,Marinicella pacifica,Bacteria; Pseudomonadota; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Marinicella,sw153,True
NR_149301.1,Luteimonas arsenica,Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Luteimonas,26-35,True
NR_149300.1,Maliponia aquimaris,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Maliponia,MM-10,True
NR_149298.1,Shewanella algicola,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella,ST-6,True
NR_149297.1,Kordiimonas lipolytica,Bacteria; Pseudomonadota; Alphaproteobacteria; Kordiimonadales; Kordiimonadaceae; Kordiimonas,M41,True
NR_149296.1,Thalassobaculum fulvum,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Thalassobaculaceae; Thalassobaculum,HSF7,True
NR_149295.1,Pseudoroseicyclus aestuarii,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Pseudoroseicyclus,DB-4,True
NR_149293.1,Oceanivirga salmonicida,Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Leptotrichiaceae; Oceanivirga,AVG 2115,True
NR_149290.1,Thermosporothrix narukonensis,Bacteria; Chloroflexota; Ktedonobacteria; Ktedonobacterales; Thermosporotrichaceae; Thermosporothrix,F4,True
NR_149287.1,Fermentibacillus polygoni,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Fermentibacillus,IEB3,True
NR_149286.1,Tumebacillus soli,Bacteria; Bacillota; Bacilli; Bacillales; Alicyclobacillaceae; Tumebacillus,CAU 11108,True
NR_149285.1,Pedobacter humi,Bacteria; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter,THG S15-2,True
NR_149283.1,Spirosoma aerophilum,Bacteria; Bacteroidota; Cytophagia; Cytophagales; Cytophagaceae; Spirosoma,5516J-17,True
NR_149282.1,Flavobacterium tistrianum,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,GB 56.1,True
NR_149281.1,Pontibacter mucosus,Bacteria; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Pontibacter,PB3,True
NR_149280.1,Aliifodinibius halophilus,Bacteria; Balneolota; Balneolia; Balneolales; Balneolaceae; Aliifodinibius,2W32,True
NR_149279.1,Hymenobacter marinus,Bacteria; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Hymenobacter,KJ035,True
NR_149278.1,Pedobacter humicola,Bacteria; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter,R135,True
NR_149277.1,Psychroflexus aestuariivivens,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Psychroflexus,DB-3,True
NR_149274.1,Streptomyces indoligenes,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,TRM 43006,True
NR_149273.1,Streptosporangium jiaoheense,Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Streptosporangium,NEAU-Jh1-4,True
NR_149272.1,Streptosporangium taraxaci,Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Streptosporangium,NEAU-Wp2-0,True
NR_149271.1,Rhodococcus humicola,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Rhodococcus,UC33,True
NR_149270.1,Rhodococcus pedocola,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Rhodococcus,UC12,True
NR_149267.1,Nonomuraea zeae,Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Nonomuraea,NEAU-ND5,True
NR_149266.1,Actinocorallia lasiicapitis,Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Thermomonosporaceae; Actinocorallia,3H-GS17,True
NR_149251.1,Longimicrobium terrae,Bacteria; Gemmatimonadota; Longimicrobiia; Longimicrobiales; Longimicrobiaceae; Longimicrobium,CB-286315,True
NR_149250.1,Planktosalinus lacus,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Planktosalinus,X14M-14,True
NR_149249.1,Seonamhaeicola algicola,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae,Gy8,True
NR_149248.1,Sphingobacterium griseoflavum,Bacteria; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium,SCU-B140,True
NR_149247.1,Flavobacterium suaedae,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium,G16-7,True
NR_149246.1,Aliidiomarina iranensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Idiomarinaceae; Aliidiomarina,GBPy7,True
NR_149245.1,Brucella vulpis,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Brucellaceae; Brucella/Ochrobactrum group; Brucella,F60,True
NR_149244.1,Pseudoalteromonas aestuariivivens,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas,DB-2,True
NR_149243.1,Magnetospirillum moscoviense,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Magnetospirillum,BB-1,True
